family,study_type,year,journal,title,doi,gas_pair_or_target,priority
cross_material_review,review,2020,ChemSusChem,Two-dimensional Material Membranes for Gas Separation,10.1002/cssc.202000381,general,high
cross_material_review,review,2020,Chemistry - An Asian Journal,Two-Dimensional Microporous Material-based Mixed Matrix Membranes for Gas Separation,10.1002/asia.202000053,general,high
cross_material_review,review,2018,Membranes,Engineering Sub-Nanometer Channels in Two-Dimensional Materials for Membrane Gas Separation,10.3390/membranes8040100,general,high
cross_material_review,review,2018,Journal of Materials Chemistry A,Two-dimensional nanosheet-based gas separation membranes,10.1039/C8TA09070J,general,high
cross_material_review,review,2020,Inorganic Chemistry Frontiers,Two-dimensional material membranes for critical separations,10.1039/D0QI00307G,general,medium
cross_material_review,review,2024,FlatChem,A comprehensive review of recent developments and challenges for gas separation membranes based on two-dimensional materials,10.1016/j.flatc.2023.100594,general,high
cross_material_review,review,2024,FlatChem,A review on two-dimensional nanosheet membranes for separation,10.1016/j.flatc.2024.100774,general,medium
cross_material_review,review,2021,Green Energy & Environment,"Two-dimensional material separation membranes for renewable energy purification, storage, and conversion",10.1016/j.gee.2020.09.015,H2/biofuel/general,medium
graphene_GO_review,review,2015,Science Bulletin,Recent advances in nanoporous graphene membrane for gas separation and water purification,10.1007/s11434-015-0914-9,general,high
graphene_GO_review,review,2017,Current Opinion in Chemical Engineering,Graphene and graphene oxide membranes for gas separation applications,10.1016/j.coche.2017.04.004,general,high
MOF_COF_review,review,2022,Nature Nanotechnology,Metal-organic frameworks and covalent organic frameworks as disruptive membrane materials for energy-efficient gas separation,10.1038/s41565-022-01168-3,general,high
MOF_COF_review,review,2022,Chemical Society Reviews,Progress of metal-organic framework-based membranes for gas and liquid separation,10.1039/D2CS00031H,general,medium
MOF_zeolite_review,review,2024,ACS Materials Au,2D MOFs and Zeolites for Composite Membrane and Gas Separation Applications: A Brief Review,10.1021/acsmaterialsau.3c00072,general,medium
COF_review,review,2022,Separation and Purification Technology,Recent advances in developing mixed matrix membranes based on covalent organic frameworks,10.1016/j.seppur.2022.122004,general,medium
COF_review,review,2026,Journal of Membrane Science,Covalent organic framework (COF) based mixed matrix membranes as an alternative solution for gas separation,10.1016/j.memsci.2026.125620,general,medium
COF_review,review,2026,Separation and Purification Technology,"Covalent Organic Framework Nanosheets: Synthesis, Membrane Fabrication, and Separation Applications",10.1016/j.seppur.2026.137717,general,medium
MXene_review,review,2022,Industrial & Engineering Chemistry Research,"MXenes and Other Two-Dimensional Materials for Membrane Gas Separation: Progress, Challenges, and Potential of MXene-Based Membranes",10.1021/acs.iecr.2c02042,general,high
