family,study_type,year,journal,title,doi,gas_pair_or_target,priority
graphene_quantum_dot,experimental,2026,Nature Communications,Graphene quantum dot membranes with tailorable pores for efficient gas separation,10.1038/s41467-026-69938-4,"CO2/N2; CO2/CH4; C3H6/C3H8",high
graphene,experimental,2024,Nature Energy,Graphene membranes with pyridinic nitrogen at pore edges for high-performance CO2 capture,10.1038/s41560-024-01556-0,CO2/N2,high
graphene,technoeconomic,2025,Nature Sustainability,Energy- and cost-efficient CO2 capture from dilute emissions by pyridinic-graphene membranes,10.1038/s41893-025-01696-5,dilute CO2 capture,high
graphene_oxide,experimental,2025,Nature Nanotechnology,Strain-induced crumpling of graphene oxide lamellas to achieve fast and selective transport of H2 and CO2,10.1038/s41565-025-01971-8,H2/CO2,high
graphene_oxide,perspective,2025,Nature Nanotechnology,Crumpled graphene oxide membranes enable rapid and selective hydrogen separation,10.1038/s41565-025-01978-1,H2/CO2,medium
graphene_oxide,experimental,2024,Nano Trends,Graphene Oxide/Melamine/Ionic liquid membranes for selective CO2 separation,10.1016/j.nwnano.2024.100033,"CO2/N2; CO2/CH4",high
graphene_oxide,experimental,2024,ACS Applied Materials & Interfaces,Physicochemical Treatments of Graphene Oxide to Improve Water Vapor/Gas Separation Performance of Supported Laminar Membranes: Sonication and H2O2 Oxidation,10.1021/acsami.3c16844,H2O/N2,medium
graphene_oxide,experimental,2024,International Journal of Hydrogen Energy,Performance of GO laminated membranes in H2/CO2 separation as a function of the membrane thickness,10.1016/j.ijhydene.2024.09.435,H2/CO2,high
MOF,experimental,2026,Journal of the American Chemical Society,Orientation-Controlled MOF Membranes Enabling Switchable H2/CO2 Separation,10.1021/jacs.5c22587,H2/CO2,high
MOF,experimental,2026,ACS Applied Materials & Interfaces,0D-on-2D MOF-Based Membranes for Enhanced Helium Separation,10.1021/acsami.6c00470,"He/CH4; He/CO2; He/N2",high
MOF,experimental,2026,Journal of Membrane Science,Vapor-phase crystalline transformation of metal-organic framework membranes for efficient hydrogen separation,10.1016/j.memsci.2026.125168,H2 separation,high
MOF,experimental,2025,Journal of Membrane Science,Rational rigidity control in heterobimetallic MOF nanosheets for precise molecular sieving,10.1016/j.memsci.2025.125069,H2 purification,high
MOF,experimental,2024,Chemical Engineering Journal,Mixed matrix membranes incorporating two-dimensional ZIF-8 nanosheets for enhanced CO2/N2 separation,10.1016/j.cej.2023.148294,CO2/N2,high
MOF,experimental,2024,Journal of Membrane Science,Regulation of MOF-74 nanosheet channels for precise H2 purification,10.1016/j.memsci.2024.123140,H2 purification,high
MOF,review,2024,Nanoscale,Recent advances in the interfacial engineering of MOF-based mixed matrix membranes for gas separation,10.1039/D4NR00096J,general,medium
MOF,review,2024,Journal of Membrane Science,Stable and scalable MOF-based mixed matrix membranes for CO2 separation: Recent advances and future prospects,10.1016/j.memsci.2023.122258,CO2 separation,medium
MOF,experimental,2025,Nanomaterials,Self-Assembled Sandwich-like Mixed Matrix Membrane of Defective Zr-MOF for Efficient Gas Separation,10.3390/nano15040279,CO2 separation,medium
MOF,review,2026,Journal of Materials Chemistry A,Engineering MOFs for thin-film and nanofilm nanocomposite membranes for CO2 separation,10.1039/D5TA07953E,CO2 separation,medium
COF,experimental,2024,Angewandte Chemie International Edition,Molecular Weaving towards Flexible Covalent Organic Framework Membranes for Efficient Gas Separations,10.1002/anie.202416864,gas separation,high
COF,experimental,2026,Nature Communications,Solvent-switch-driven covalent organic framework nanosheets for ultra-robust and recyclable gas separation membrane,10.1038/s41467-026-72207-z,gas separation,high
COF,experimental,2025,Separation and Purification Technology,Confinement-gradient crosslinking strategy for dynamic-gated iCOF@PEI ultrathin composite membranes toward precision H2/CO2 separation,10.1016/j.seppur.2025.135143,H2/CO2,high
COF,review,2025,ACS Applied Materials & Interfaces,Covalent Organic Framework Membranes: Synthesis Strategies and Separation Applications,10.1021/acsami.5c02556,general,medium
